3		Younger Internet users have more friends than older users	Connectedness / friendship links	Older people						
3		Extroverts have more friends on social media	Connectedness / friendship links	Cognitive style / learning style						
3		Younger Internet users use social media more frequently	Frequency of social media use							
3		Female post status updates on social media more frequently than male	Frequency of social media use	Gender differences						
3		Extroverts use social media more frequently	Frequency of social media use	Cognitive style / learning style						
3		30% adult Internet users feel that health information they find online helps them	Health	Adults						
3		97% students use social metworking for information seeking	Search behaviour / information seeking behaviour	Students						
3		Women tend to use social media for maintaining existing relationships	Social media patterns	Gender differences						
3		Men tend to use social media for developing new contacts	Social media patterns	Gender differences						
3		Men tend to use social media more for task-oriented reasons and less for interpresonal purposes	Social media patterns	Gender differences						
3		Men are more likely than women to post risky information online	Social media patterns	Gender differences						
3		Women are more cautions online than men	Social media patterns	Gender differences						
3	2012	Female spend more time on social media than male	Time spent on social media	Gender differences						
3		Extroverts may gain more social benefit from social networking	Using social media	Personality traits						
3	2011	83% Internet users aged 18-29 also use social media	Using social media							
3	2011	70% Internet users aged 30-49 also use social media	Using social media							
3		More female use social media than male	Using social media	Gender differences						
3		69% female Internet users use social media	Using social media	Gender differences						
3		60% male Internet users use social media	Using social media	Gender differences						
3		More undergraduates use social media than graduate students	Using social media	Students						
3		Undegraduate students have more friends than graduate students	Using social media	Students						
4		14.2% facebook users have more than 350 friends	Connectedness / friendship links							
4		50% social media users use it several times a day	Frequency of social media use							
5		The amount of time spent on video gaming is negatively related to academic achievement	Academic disturbance	Gaming	Students					
5		Digital addiction ranges from <1% to 38%	Addiction							
5		11 hours (11-18 years age group) is the average time spent on social media	Time spent on social media							
5		30 minutes is the average time spent per day using facebook	Time spent on social media							
6		Computer-based personality judgement is more accurate than human	Personality judgments							
7		Extraverts receive more incoming calls	Mobile phone usage	Cognitive style / learning style						
7		Extraverts value less incoming calls	Mobile phone usage	Cognitive style / learning style						
7		Low self-esteem has been linked with heavier amounts of Internet use	Web / Internet consumption							
7		Users with high self-esteem prefer face-to-face communication	Web / Internet consumption							
8		49.8% mobile app sessions are shorter than 5 seconds	App usage							
9		89% mobile users believe that people need to adopt better mobile etiquette	Mobile phone usage							
9		71% users are consistently late for social events because of the option to rearrange through a mobile voice call or text	Mobile phone usage							
9		78% users admit ducking out of uncomfortable or awkward social situations by sending a text message rather than calling	Mobile phone usage							
10		Social networks promote self-esteem	Belongingness							
10		Social networks promote psychological well-being	Belongingness							
10		In-group norm influences mobile phone involvement	In-group norm	Mobile phone usage						
10		Younger people have more phone use	Mobile phone usage							
10		Self-identity influences mobile phone use	Self-identity	Mobile phone usage						
11		People delay answering text messages by 15 to 30 minutes	Delays posting to social media							
11		58% kids have no computer rules set by parents	Family rules		Children					
11		12% parents have removed phone from kids as punishment	Family rules		Children					
11		26% parents threatened kids of phone confiscation as punishment	Family rules		Children					
11		11% young people wake up every night by mobile phone text or call	Mobile phone usage							
11		10% young people have been asked by parents to stop using the phone late at night	Mobile phone usage	Family rules						
11		86% to 66% students keep mobile phones on during lessons	Mobile phone usage	Students						
11		20% young people (1-19 years) have received offensive or threatening calls or text messages	Mobile phone usage							
11		77% parents have been unable to contact children at least in one occasion	Safety	Children						
11		37% young people have been unable to contact parents urgently	Safety	Children						
11		Young people are becoming less self-reliant	Self-reliance							
